post_id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet,spam_score,spam_classification
1617619263392743424,Fabulous Faga,"Abakaliki, Nigeria","🌹A Social media influencer
💃A scientist by profession",2020-10-19 08:02:47+00:00,244,999,686,False,2023-01-23 20:24:20+00:00,OBI and wife storm kastina state today. See crowd. Nigeria will be great again retweet if you believe https:t.coMvDteRn7rb,"['OBI', 'wife']",Twitter for Android,0.0,5.0,False,0.2635197368421053,Not Spam
1617648566977302534,Patriotic Nigerian,"Lagos, Nigeria","inspiring and amazingly created. Marketing/ Brand Communications & PR Specialist/Politics/Progressive/Brand activation/ Media placement/ Old account lost, FB",2021-03-30 22:04:11+00:00,688,2827,3488,False,2023-01-23 22:20:47+00:00,"If they cant point to you one project , investment, vision, legacies of either peterobi or Atiku, then they don https:t.copoEvqn25uB","['peterobi', 'Atiku']",Twitter for iPhone,11.0,15.0,False,0.2042857142857143,Not Spam
1617657018873171969,Promise,,Health and Fitness enthusiast,2022-05-06 23:03:08+00:00,2,22,40,False,2023-01-23 22:54:22+00:00,"atiku God with his infinite mercy will never allow you to emerge as the president,wetin you steal the devil himsel https:t.coDtmuB2DQyw",,Twitter for iPhone,0.0,0.0,False,0.2542857142857143,Not Spam
1617584206317752321,KemKem,"Lagos, Nigeria","My Tweets & Views are Personal & do not
reflect the views of the Organisations I work with.
Twitter Addict.",2015-01-01 07:40:09+00:00,24474,1931,129947,False,2023-01-23 18:05:02+00:00,Governor RotimiAkeredolu takes Asiwaju Bola Ahmed Tinubu's campaign to Ondo South. From North to South https:t.covhffbPTCmG,,Twitter for Android,14.0,40.0,False,0.2555038759689923,Not Spam
1617619489184690178,Mo'6icky,,"By nature, an optimist_📌",2019-05-09 16:31:33+00:00,22,198,540,False,2023-01-23 20:25:14+00:00,atiku Salutation is not Love. Obi is coming,['Obi'],Twitter for Android,0.0,4.0,False,0.04444444444444445,Not Spam
1617691277113589763,De Galvanizer,,,2022-08-29 23:56:21+00:00,235,343,26036,False,2023-01-24 01:10:30+00:00,lionofjada don drop part 3! The insiders have confessed that Atiku is going nowhere! You all are waiting to w https:t.coCxNbNTAojz,['Atiku'],Twitter for Android,0.0,1.0,False,0.2542857142857143,Not Spam
1617657186477568002,Iyorchia Ayu,Nigeria,"Former President of The Nigerian Senate.

Former Minister of Education, Industry, Interior & Environment.

National Chairman Peoples Democratic Party.",2022-02-20 18:00:49+00:00,15320,14,41,False,2023-01-23 22:55:02+00:00,Earlier today in Bayelsa for AtikuOkowa Presidential campaign rally. Thank you Bayelsa. pdp AtikuInBayelsa https:t.coUxa8E8PDuN,"['pdp', 'AtikuInBayelsa']",Twitter for iPhone,55.0,338.0,False,0.2548148148148148,Not Spam
1617641733302501376,BNN Africa,,Breaking news network across Africa and the globe - Break-N News Africa (Biggest Africa News Coverage),2020-12-06 10:41:51+00:00,1881,63,18248,False,2023-01-23 21:53:38+00:00,"Atiku Abubakar, the party's candidate, will win the upcoming election for president of Nigeria, according to Mr. De https:t.co5jC7p3Ry5U",,Blog2Social APP,0.0,0.0,False,0.2542857142857143,Not Spam
1617637199809490944,Atikulated Agenda 2023,"Federal Capital Territory, Nig","Believer of Justice| Lover of Jesus| Positive Thinker| Health & Safety Officer| PR/Social Media Personality n political Strategist. 
jngwobia@gmail.com",2018-10-17 06:18:53+00:00,4987,4895,61512,False,2023-01-23 21:35:37+00:00,It is home coming for His Excellency Atiku Abubakar n his recovering team to Delta State 2moro 24th Jan. 2023. It i https:t.coQY9tGV4DuX,,Twitter for Android,15.0,24.0,False,0.2042857142857143,Not Spam
1617604331095855105,Bright Eugene VII,Federal Capital Territory,Standing Right Next To The Sun Can't Stop Me From Shining | CS - HRM - New Media & Strategic Communications - M&E... #ProudlyNigerian #Buharist #Football,2010-01-18 14:06:43+00:00,7029,708,1534,False,2023-01-23 19:25:00+00:00,Distinguished Senator ChimarokeNamani will cause sleepless night for a lot of people tonight. He has always mainta https:t.coiidN21ChrR,,Twitter for Android,2.0,12.0,False,0.2542857142857143,Not Spam
